:1
C56:1
C57:1
C58:1
C59:1
C60:1
C61:1
C62:1
C63:1
C64:1
C65:1
C66:1
C67:1
C68:1
C69:1
C70:1
C71:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D9:1
G***:2
H1:1
H2:1
H3:1
H7:1
NT10:1
NT11:1
NT12:1
NT7:1
NT8:1
NT9:1
Q3:1
Q4:1
Q42:1
Q44:1
R110:1
R111:1
R115:1
R116:1
R39:1
R40:1
R41:1
R42:1
R43:1
R44:1
R45:1
R46:1
R47:1
R48:1
R49:1
R50:1
R51:1
R52:1
R53:1
R54:1
R55:1
R56:1
R57:1
R58:1
R59:1
R60:1
R61:1
R62:1
R63:1
R64:1
TP11:2
TP12:1
TP14:1
TP15:1
TP19:1
TP20:1
TP24:1
TP25:1
TP7:1
TP8:1
TP9:1
U12:1
U13:1
U14:1
U15:1
